vm_id,server_id
VM123197,S005
VM124710,S003
VM242521,S001
VM06402,S004
VM04700,S001
VM96385,S003
VM202802,S005
VM124707,S005
VM225913,S003
VM91717,S002
VM128885,S002
VM185808,S005
VM22460,S006
VM72354,S005
VM45231,S001
VM236384,S004
VM91164,S002
VM54378,S003
VM141833,S002
VM114568,S001
VM135611,S005
VM78892,S003
VM230123,S002
VM235676,S001
VM172564,S002
VM26531,S005
VM114277,S004
VM173867,S004
VM155148,S001
VM85032,S003
VM24863,S005
VM80928,S005
VM188936,S006
VM197452,S005
VM182816,S002
VM157145,S004
VM89330,S002
VM155804,S004
VM66767,S002
VM51790,S006
VM72940,S005
VM121767,S004
VM71423,S003
VM99762,S001
VM06857,S003
VM222277,S005
VM196105,S004
VM47610,S001
VM29762,S004
VM149800,S005
VM66116,S002
VM168897,S002
VM212798,S002
VM38126,S006
VM99235,S003
VM209808,S003
VM131715,S002
VM121220,S003
VM182473,S002
VM217677,S004
VM147863,S002
VM05350,S006
VM170284,S004
VM55887,S005
VM21667,S002
VM92663,S005
VM169440,S002
VM236412,S001
VM119636,S001
VM17259,S002
VM05017,S001
VM48475,S004
VM118735,S001
VM136984,S005
VM79545,S005
VM161950,S001
VM194004,S003
VM31813,S002
VM225454,S003
VM02258,S002
VM186461,S004
VM98516,S001
VM171836,S006
VM62932,S003
VM210690,S003
VM41411,S004
VM106393,S004
VM193456,S003
VM53278,S003
VM91028,S003
VM74929,S006
VM167510,S003
VM87338,S001
VM230691,S002
VM06182,S006
VM154819,S003
VM168095,S005
VM203515,S005
VM92963,S001
VM167796,S002
VM226208,S001
VM16430,S002
VM136681,S001
VM174921,S001
VM88732,S003
VM114503,S004
VM163467,S006
VM79269,S004
VM166214,S002
VM88263,S004
VM225906,S003
VM140018,S002
VM214419,S002
VM126734,S003
VM91517,S005
VM205193,S005
VM205610,S001
VM88869,S002
VM80155,S004
VM12598,S003
VM55137,S002
VM02948,S003
VM234743,S001
VM119715,S002
VM16319,S001
VM220612,S006
VM208707,S003
VM115515,S001
VM204042,S003
VM170799,S001
VM42684,S001
VM78725,S001
VM137333,S004
VM162427,S004
VM126042,S004
VM209944,S002
VM176079,S002
VM152492,S004
VM121880,S004
VM158309,S003
VM20178,S002
VM19070,S003
VM181857,S004
VM16585,S002
VM232278,S005
VM18555,S001
VM119415,S001
VM198187,S005
VM11804,S003
VM218018,S004
VM152569,S005
VM99139,S004
VM178682,S001
VM145258,S004
VM107025,S004
VM213007,S004
VM207077,S005
VM87522,S002
VM72720,S002
VM75689,S003
VM140590,S004
VM197103,S006
VM208672,S004
VM180525,S004
VM08596,S006
VM121068,S005
VM119315,S002
VM123690,S004
VM118017,S004
VM127045,S002
VM98467,S002
VM210901,S003
VM168842,S002
VM78735,S003
VM163329,S006
VM12854,S005
VM83523,S004
VM167829,S002
VM207169,S005
VM01310,S002
VM153278,S003
VM53500,S002
VM146463,S002
VM160529,S001
VM133019,S006
VM237100,S004
VM191854,S004
VM228649,S005
VM135993,S005
VM179931,S001
VM136044,S005
VM236173,S003
VM224703,S003
VM59890,S001
VM20422,S002
VM153367,S004
VM74764,S002
VM18340,S005
VM242533,S001
VM241367,S006
VM186551,S001
VM147458,S004
VM33337,S004
VM108229,S001
VM60908,S002
VM120738,S006
VM63011,S005
VM15810,S005
VM231335,S003
VM228042,S005
VM239353,S005
VM207215,S005
VM37836,S006
VM67893,S003
VM200078,S004
VM216110,S002
VM91755,S006
VM161546,S005
VM57248,S005
VM205786,S003
VM64946,S004
VM36161,S003
VM204277,S003
VM114659,S001
VM128985,S002
VM31876,S005
VM117956,S003
VM168947,S005
VM161079,S005
VM53175,S004
VM55479,S001
VM35926,S002
VM76060,S003
VM45028,S003
VM171322,S002
VM128658,S004
VM94031,S004
VM81436,S005
VM123424,S004
VM37751,S003
VM140007,S003
VM173448,S001
VM44256,S002
VM15968,S006
VM36155,S001
VM28017,S003
VM224046,S004
VM226647,S005
VM77718,S002
VM222636,S001
