server_id,type,cpu_capacity,mem_capacity,idle_power_w,max_power_w,n_vms,cpu_request,mem_request,cpu_avg,mem_avg,cpu_peak,mem_peak,rho_peak_cpu,rho_peak_mem,n_failed,active,cpu_util_request,mem_util_request,cpu_util_avg,mem_util_avg,cpu_util_peak,mem_util_peak,cpu_overflow,mem_overflow,power_w,wastage,qos_overcommit
S001,standard,1.0,1.0,120.0,400.0,13.0,0.9998855590820312,0.9980678558349609,0.21407985687255834,0.3527460098266598,0.8510656356811521,0.358157157897949,1.4343195184071855,0.520099823209974,11.0,1,0.9998855590820312,0.9980678558349609,0.21407985687255834,0.3527460098266598,0.8510656356811521,0.358157157897949,0.0,0.0,179.94235992431635,0.0029554367065429688,0.5843195184071855
S002,standard,1.0,1.0,120.0,400.0,16.0,0.9995050430297849,0.4505729675292967,0.5783891677856443,0.2887935638427732,1.7033586502075195,0.2958211898803707,2.139544170167711,0.3571526548597541,5.0,1,0.9995050430297849,0.4505729675292967,0.5783891677856443,0.2887935638427732,1.7033586502075195,0.2958211898803707,0.0,0.0,281.9489669799804,0.8243880271911626,1.2895441701677108
S003,standard,1.0,1.0,120.0,400.0,24.0,0.9996719360351562,0.7815780639648436,0.5310621261596675,0.252845764160156,1.7303094863891597,0.2634277343749995,2.209446851942274,0.3609719732072612,8.0,1,0.9996719360351562,0.7815780639648436,0.5310621261596675,0.252845764160156,1.7303094863891597,0.2634277343749995,0.0,0.0,268.6973953247069,0.3277969360351564,1.3594468519422738
S004,standard,1.0,1.0,120.0,400.0,46.0,0.9999284744262694,0.3590641021728503,0.6083498001098624,0.26493867238362534,2.0647258758544917,0.31814098358154197,3.2436193773481574,0.503873711691961,23.0,1,0.9999284744262694,0.3590641021728503,0.6083498001098624,0.26493867238362534,2.0647258758544917,0.31814098358154197,0.0,0.0,290.3379440307615,0.9614396095275899,2.3936193773481573
S005,standard,1.0,1.0,120.0,400.0,151.0,0.9769783020019495,0.48973846435546337,0.5337759653727172,0.3503756523132269,2.06707954406738,0.4108324050903261,2.993107872009274,0.6063770410749569,66.0,1,0.9769783020019495,0.48973846435546337,0.5337759653727172,0.3503756523132269,2.06707954406738,0.4108324050903261,0.0,0.0,269.4572703043608,0.7769031524658301,2.1431078720092738
S006,standard,1.0,1.0,120.0,400.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
S007,standard,1.0,1.0,120.0,400.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
S008,standard,1.0,1.0,120.0,400.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
S009,standard,1.0,1.0,120.0,400.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
S010,standard,1.0,1.0,120.0,400.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
