scenario,n_servers_in_fleet,method,status,runtime_s,placement_valid,n_vms,n_servers_available,n_active_servers,n_inactive_servers,n_unplaced_vms,energy_wh,energy_normalised,mean_power_w,wastage,wastage_normalised,qos_overcommit,qos_normalised,qos_failure_proxy,weighted_objective,cpu_util_active_mean,mem_util_active_mean,cpu_util_peak_active_mean,mem_util_peak_active_mean,cpu_util_fleet,mem_util_fleet,wastage_pct_active,n_capacity_violations,total_cpu_overflow,total_mem_overflow,n_servers_over_threshold,failed_vms,build_time_s,solve_time_s,n_binary_vars,n_constraints,milp_solution_used,milp_lower_bound,milp_proven_optimal,objective_mismatch,objective_value,mip_gap,alpha,beta,gamma,pareto_optimal
"a=0.00,b=0.00,g=1.00",11,"a=0.00,b=0.00,g=1.00",Optimal,1.170053799985908,1,250,11,11,0,0,2010.4282633463527,0.4569155143968983,2010.4282633463527,14.89057731628419,0.6768444234674632,2.7116350597805425,0.1884979082781076,0.456,0.1884979082781076,0.4555055444890799,0.28038475730202356,0.766074874184348,0.14957662062211396,0.4555055444890799,0.28038475730202356,54.44944555109201,0,0.0,0.0,9,114,0.6121204999799374,0.5579333000059705,2761,3077,1,0.187,1,5.783227785549627e-10,0.1884979088564304,0.01,0.0,0.0,1.0,False
"a=0.00,b=0.20,g=0.80",11,"a=0.00,b=0.20,g=0.80",Optimal,3.2276293999748304,1,250,11,11,0,0,2010.4282633463527,0.4569155143968983,2010.4282633463527,14.918009757995616,0.6780913526361644,2.7186096657646983,0.1889827444046857,0.456,0.2868044660509814,0.4555055444890799,0.2803847573020235,0.766074874184348,0.149576620622114,0.4555055444890799,0.2803847573020235,54.44944555109201,0,0.0,0.0,10,114,0.4556027999788057,2.7720265999960247,2761,3077,1,0.285,1,4.749627913192e-10,0.28680446557601863,0.01,0.0,0.2,0.8,False
"a=0.00,b=0.40,g=0.60",11,"a=0.00,b=0.40,g=0.60",Optimal,65.872887000005,1,250,11,6,5,0,1410.4282633463527,0.32055187803326196,1410.4282633463527,4.868371009826673,0.22128959135575785,6.938136782116355,0.4823009888661706,0.456,0.3778964298620055,0.8350934982299799,0.5140387217203765,1.4044706026713047,0.27422380447387557,0.4555055444890799,0.2803847573020235,16.49065017700201,0,0.0,0.0,6,114,0.4425921000074595,65.43029489999753,2761,3077,1,,1,7.970329951589861e-11,0.3778964297823022,0.0,0.0,0.4,0.6,True
"a=0.00,b=0.60,g=0.40",11,"a=0.00,b=0.60,g=0.40",Optimal,10.539237999997567,1,250,11,6,5,0,1410.4282633463524,0.3205518780332619,1410.4282633463524,4.877119064331067,0.22168723019686667,6.938136782116354,0.48230098886617057,0.456,0.3259327336645882,0.8350934982299797,0.5140387217203765,1.4044706026713047,0.27422380447387557,0.4555055444890799,0.2803847573020235,16.49065017700203,0,0.0,0.0,6,114,0.37869230000069365,10.160545699996874,2761,3077,1,0.326,1,2.7508270106224586e-09,0.3259327364154152,0.0,0.0,0.6,0.4,False
"a=0.00,b=0.80,g=0.20",11,"a=0.00,b=0.80,g=0.20",Optimal,8.768508099979954,1,250,11,6,5,0,1410.4282633463527,0.32055187803326196,1410.4282633463527,4.868371009826673,0.22128959135575785,6.938136782116355,0.4823009888661706,0.456,0.27349187085784044,0.8350934982299797,0.5140387217203765,1.4044706026713047,0.2742238044738757,0.4555055444890799,0.2803847573020235,16.49065017700203,0,0.0,0.0,6,114,0.38134279998485,8.387165299995104,2761,3077,1,,1,1.7682250663675347e-09,0.27349186908961537,0.0,0.0,0.8,0.2,True
"a=0.00,b=1.00,g=0.00",11,"a=0.00,b=1.00,g=0.00",Optimal,3.3967405000294093,1,250,11,6,5,0,1410.4282633463527,0.32055187803326196,1410.4282633463527,4.868371009826673,0.22128959135575785,7.689512630038786,0.5345324921996356,0.456,0.22128959135575785,0.8350934982299799,0.5140387217203765,1.404470602671305,0.2742238044738756,0.4555055444890799,0.2803847573020235,16.49065017700201,0,0.0,0.0,5,114,0.3573059000191279,3.0394346000102814,2761,3077,1,,1,1.5096285332916182e-10,0.2212895915067207,0.0,0.0,1.0,0.0,False
"a=0.20,b=0.00,g=0.80",11,"a=0.20,b=0.00,g=0.80",Optimal,2.874895499990089,1,250,11,11,0,0,2010.4282633463527,0.4569155143968983,2010.4282633463527,15.042111396789561,0.6837323362177073,2.714065090815222,0.18866683062827264,0.456,0.2423165673819978,0.4555055444890799,0.2803847573020235,0.766074874184348,0.14957662062211396,0.4555055444890799,0.2803847573020235,54.44944555109201,0,0.0,0.0,9,114,0.3680568000127096,2.5068386999773793,2761,3077,1,0.241,1,1.2537508531362818e-09,0.24231656863574866,0.01,0.2,0.0,0.8,False
"a=0.20,b=0.20,g=0.60",11,"a=0.20,b=0.20,g=0.60",Optimal,4.679498699988471,1,250,11,11,0,0,2010.4282633463524,0.45691551439689826,2010.4282633463524,14.868371009826674,0.6758350459012125,2.688136782116355,0.18686443766344607,0.456,0.3386687746576898,0.4555055444890799,0.28038475730202345,0.766074874184348,0.14957662062211396,0.4555055444890799,0.28038475730202345,54.44944555109201,0,0.0,0.0,11,114,0.5227869999944232,4.156711699994048,2761,3077,1,0.339,1,1.3290264444520972e-09,0.33866877332866335,0.0,0.2,0.2,0.6,True
"a=0.20,b=0.40,g=0.40",11,"a=0.20,b=0.40,g=0.40",Optimal,6.84353209999972,1,250,11,6,5,0,1410.4282633463527,0.32055187803326196,1410.4282633463527,4.868371009826673,0.22128959135575785,6.938136782116354,0.48230098886617057,0.456,0.3455466076954238,0.8350934982299799,0.5140387217203765,1.4044706026713047,0.2742238044738756,0.4555055444890799,0.2803847573020235,16.49065017700201,0,0.0,0.0,6,114,0.39575729999342,6.4477748000063,2761,3077,1,,1,2.3292887618708846e-09,0.345546605366135,0.0,0.2,0.4,0.4,True
"a=0.20,b=0.60,g=0.20",11,"a=0.20,b=0.60,g=0.20",Optimal,3.364064400026109,1,250,11,6,5,0,1410.4282633463524,0.3205518780332619,1410.4282633463524,4.868371009826673,0.22128959135575785,6.938136782116354,0.48230098886617057,0.456,0.2933443281933412,0.8350934982299797,0.5140387217203765,1.4044706026713047,0.2742238044738756,0.4555055444890799,0.28038475730202356,16.49065017700203,0,0.0,0.0,6,114,0.3742488000134472,2.989815600012662,2761,3077,1,,1,1.4513473756139206e-10,0.29334432833847596,0.0,0.2,0.6,0.2,True
