band_lo,band_hi,n_vms,seed,n_servers,server_lower_bound,ffd_servers,milp_servers,z_ffd,z_milp,improvement_pct,status,mip_gap,milp_lower_bound,proven_optimal,runtime_s
0.3,0.45,40,100,19,14,15,15,0.45793604674105104,0.44154067060607577,3.5802763839306055,Feasible (time limit),0.03,0.428,0,60.243415599979926
0.3,0.45,40,101,19,14,14,14,0.4485120805734916,0.446899931843301,0.3594437697484603,Optimal,0.0,,1,0.8560336999653373
0.3,0.45,40,102,19,13,14,14,0.45306099667754635,0.45107717090118016,0.4378716753183946,Optimal,0.0,,1,1.329722899972694
0.3,0.45,40,103,19,14,14,14,0.45483898269808165,0.4475734266808239,1.5973907896281996,Feasible (time limit),0.0,0.447,0,60.18641269998625
0.3,0.45,40,104,19,14,14,14,0.44894748844941,0.44219856279984127,1.5032772926023967,Optimal,0.0,,1,0.8348623000201769
0.2,0.45,60,100,24,17,20,20,0.4132771718970889,0.35820340839357007,13.3261082993553,Feasible (time limit),0.15,0.311,0,60.07696190002025
0.2,0.45,60,101,24,17,20,20,0.40493813809863555,0.33018313216724626,18.460845965854748,Feasible (time limit),0.14,0.29,0,59.95184850000078
0.2,0.45,60,102,24,17,19,19,0.40351188755317563,0.3615803281993163,10.391654037288681,Feasible (time limit),0.13,0.319,0,60.37261109997053
0.2,0.45,60,103,23,17,19,19,0.40807177975226555,0.34337047936692633,15.855372411348426,Feasible (time limit),0.16,0.297,0,59.760349100019084
0.2,0.45,60,104,24,17,20,20,0.40296062947923605,0.3093249870770843,23.236920818582522,Feasible (time limit),0.1,0.282,0,60.11163410000154
